,time,199,244,266,311,333,378,423,445,490,356,177,289,222,468,401,334,267,446,200,379,312,245,424,491,357
0,0,697.299,675.543125,646.2889375,590.0389375,757.40575,557.1591875,768.3811875,618.632375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,699.2910625,671.8629375,649.844375,587.8544375,762.1088125,557.22475,763.6739375,620.468375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,701.3474375,668.235625,653.455125,585.745,766.846375,557.377875,759.0018125,622.377625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,703.4675,664.662,657.1203125,583.7115,771.617875,557.6185,754.365375,624.3595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,705.6506875,661.143,660.8390625,581.7546875,776.4226875,557.9464375,749.7653125,626.41325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,707.896375,657.6795,664.610375,579.875375,781.2600625,558.361625,745.2023125,628.5381875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,710.2040625,654.2723125,668.4334375,578.0743125,786.1295625,558.8638125,740.6770625,630.733625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,712.573,650.9224375,672.3073125,576.35225,791.0305,559.4528125,736.19025,632.99875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,715.00275,647.630625,676.231125,574.7098125,795.9623125,560.1283125,731.7426875,635.3329375,818.8165625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,717.4925,644.397875,680.2040625,573.1478125,800.924375,560.89,727.3349375,637.73525,815.826875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,720.0418125,641.225125,684.22525,571.666875,805.91625,561.7375,722.967875,640.2050625,812.8865625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,722.6499375,638.113125,688.29375,570.2675625,810.9371875,562.6704375,718.642125,642.7415625,809.9960625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
