,time,1258,1325,1370,1392,1437,1303,1415,1348,1281,1393,1460,1326,1259,1438,1371,1304
0,0,770.0153125,661.5550625,757.8325,694.4316875,775.6455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,770.58625,663.1265625,754.026625,697.0190625,772.816875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,771.220375,664.7681875,750.2666875,699.6669375,770.0415625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,771.9175625,666.47925,746.5533125,702.3745,767.3200625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,772.6776875,668.2593125,742.8873125,705.1411875,764.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,773.5005625,670.10775,739.2693125,707.96625,762.0409375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,774.3859375,672.024125,735.7,710.8490625,759.4844375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,775.333625,674.0076875,732.1801875,713.78875,756.984125,820.6589375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,776.343375,676.058,728.7105,716.7848125,754.5405,816.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,777.415,678.1743125,725.29175,719.836375,752.154125,812.6995625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,778.5481875,680.356125,721.9245625,722.9428125,749.8255625,808.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,779.74275,682.60275,718.60975,726.1034375,747.555375,804.9046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,780.9983125,684.9135625,715.3480625,729.3175,745.3440625,801.0704375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,782.3145625,687.287875,712.140125,732.5843125,743.1921875,797.279125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,783.6913125,689.7250625,708.98675,735.9031875,741.10025,793.531375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,785.128125,692.2245,705.8886875,739.273375,739.06875,789.827875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,786.6246875,694.7854375,702.846625,742.6941875,737.0981875,786.1691875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,788.18075,697.40725,699.86125,746.1649375,735.1890625,782.5559375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,789.795875,700.0891875,696.9334375,749.684875,733.341875,778.9888125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,791.4696875,702.830625,694.0638125,753.253375,731.5570625,775.468375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,793.201875,705.630875,691.253125,756.86975,729.835125,771.995375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,794.9920625,708.489125,688.502125,760.53325,728.1765,768.570375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,796.83975,711.4048125,685.8115,764.2433125,726.581625,765.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,798.7446875,714.377125,683.1819375,767.9990625,725.050875,761.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,800.7063125,717.4054375,680.61425,771.8,723.58475,758.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,802.7243125,720.489,678.1090625,775.6454375,722.1835625,755.363625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,804.7981875,723.6270625,675.6670625,779.534625,720.8476875,752.1885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
