,time,213,235,280,302,347,392,414,459,481,325,258,437,370,504,303,236,482,415,348,281,460,393,214,326,259,438,505,371,304,237,483,416,349,282,461,394,215,327,506,260,439,484,372,305,238,462,417,350,283,440,395,507,216,328,261,418,485,373,1410,1388,1455,1433,1366,239,1411,306,284,217,1389,1456,262,1434,1367,240,307,1412,285,1457,218,1390,263,1435,286,241,1413,264,1458,1391,219,242
0,0,0.7819299101829529,0.7453801035881042,1.275736689567566,0.7147200107574463,1.4477702379226685,0.8556320071220398,1.1292140483856201,0.9283371567726135,0.7722817659378052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1051297187805176,0.0,0.0,0.0,0.8175777196884155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3737736940383911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.7848929762840271,0.739831805229187,1.2831528186798096,0.7082964777946472,1.4349600076675415,0.8637838363647461,1.118817687034607,0.9352635145187378,0.767308235168457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962567329406738,0.0,0.0,0.0,0.8227971196174622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3781942129135132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.7877860069274902,0.7343072295188904,1.2902475595474243,0.7019454836845398,1.4221745729446411,0.8720292448997498,1.1084834337234497,0.9421806931495667,0.7623276710510254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0873677730560303,0.0,0.0,0.0,0.8279934525489807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3818501234054565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.7906065583229065,0.7288073897361755,1.2969880104064941,0.0,1.4094209671020508,0.8803688883781433,1.0982146263122559,0.9490842819213867,0.7573421597480774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0784704685211182,0.0,0.0,0.0,0.8331636190414429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.384691834449768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.7933521270751953,0.7233334183692932,1.3033394813537598,0.0,1.3967052698135376,0.8888036012649536,1.0880143642425537,0.9559695720672607,0.7523537874221802,0.7039288282394409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0695717334747314,0.0,0.0,0.0,0.8383044600486755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3866782188415527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.7960203289985657,0.717886209487915,1.3092666864395142,0.0,1.3840326070785522,0.8973340392112732,1.0778855085372925,0.9628315567970276,0.7473644614219666,0.7103166580200195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.060678243637085,0.0,0.0,0.0,0.8434125185012817,0.0,0.0,0.0,0.6982454061508179,0.0,0.0,0.0,0.0,0.0,1.3877787590026855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.798608660697937,0.7124667167663574,1.3147331476211548,0.0,1.3714076280593872,0.9059609174728394,1.0678304433822632,0.9696650505065918,0.7423760294914246,0.7167783379554749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0517958402633667,0.0,0.0,0.0,0.8484843373298645,0.0,0.0,0.0,0.7029544711112976,0.0,0.0,0.0,0.0,0.0,1.3879762887954712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.8011147379875183,0.7070757150650024,1.319702386856079,0.0,1.3588346242904663,0.9146848917007446,1.0578514337539673,0.9764646291732788,0.7373901605606079,0.7233148813247681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.042930006980896,0.0,0.0,0.0,0.8535163402557373,0.0,0.0,0.0,0.7076703310012817,0.0,0.0,0.0,0.0,0.0,1.3872674703598022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.8035362362861633,0.7017140984535217,1.3241387605667114,0.0,1.3463174104690552,0.9235065579414368,1.0479505062103271,0.9832244515419006,0.7324087023735046,0.7299272418022156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0340862274169922,0.0,0.0,0.0,0.8585048317909241,0.0,0.0,0.0,0.7123916745185852,0.0,0.0,0.0,0.0,0.0,1.3856635093688965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
